school,major,degree,post_grad_earnings
Associated Technical College-San Diego,"Computer and Information Sciences, General.",Undergraduate Certificate or Diploma,12603.0
Azusa Pacific University,"Computer and Information Sciences, General.",Bachelor's Degree,83541.0
Brownson Technical School,"Heating, Air Conditioning, Ventilation and Refrigeration Maintenance Technology/Technician (HAC, HACR, HVAC, HVACR).",Undergraduate Certificate or Diploma,56357.0
California Baptist University,Computer Engineering.,Bachelor's Degree,83205.0
California Institute of Technology,"Computer and Information Sciences, General.",Bachelor's Degree,232903.0
California Lutheran University,Computer Science.,Bachelor's Degree,91699.0
California Polytechnic State University-San Luis Obispo,Food Science and Technology.,Bachelor's Degree,82237.0
California Polytechnic State University-San Luis Obispo,"Computer and Information Sciences, General.",Bachelor's Degree,192621.0
California Polytechnic State University-San Luis Obispo,"Computer and Information Sciences, General.",Master's Degree,183105.0
California Polytechnic State University-San Luis Obispo,Computer Engineering.,Bachelor's Degree,146406.0
California State University-Bakersfield,Computer Science.,Bachelor's Degree,83688.0
California State University-Stanislaus,Computer Science.,Bachelor's Degree,78283.0
California State University-San Bernardino,"Computer and Information Sciences, General.",Bachelor's Degree,77323.0
California State University-San Bernardino,Computer Science.,Bachelor's Degree,94648.0
California State University-San Bernardino,Computer Engineering.,Bachelor's Degree,97972.0
California State Polytechnic University-Pomona,Food Science and Technology.,Bachelor's Degree,75173.0
California State Polytechnic University-Pomona,Computer Science.,Bachelor's Degree,107324.0
California State Polytechnic University-Pomona,Computer Engineering.,Bachelor's Degree,102133.0
California State Polytechnic University-Pomona,"Engineering Technology, General.",Bachelor's Degree,100306.0
California State Polytechnic University-Pomona,Biotechnology.,Bachelor's Degree,80268.0
California State University-Chico,"Computer and Information Sciences, General.",Bachelor's Degree,90685.0
California State University-Chico,Computer Science.,Bachelor's Degree,125103.0
California State University-Chico,Computer Engineering.,Bachelor's Degree,107580.0
California State University-Dominguez Hills,"Computer and Information Sciences, General.",Bachelor's Degree,60375.0
California State University-Dominguez Hills,Computer Science.,Bachelor's Degree,96640.0
California State University-Fresno,Food Science and Technology.,Bachelor's Degree,63092.0
California State University-Fresno,"Computer and Information Sciences, General.",Bachelor's Degree,80652.0
California State University-Fresno,Computer Science.,Bachelor's Degree,91077.0
California State University-Fresno,Computer Engineering.,Bachelor's Degree,131127.0
California State University-Fullerton,Information Science/Studies.,Bachelor's Degree,70302.0
California State University-Fullerton,Computer Science.,Bachelor's Degree,108989.0
California State University-Fullerton,Computer Science.,Master's Degree,118312.0
California State University-Fullerton,Computer Engineering.,Bachelor's Degree,113278.0
California State University-Fullerton,Computer Engineering.,Master's Degree,133374.0
California State University-East Bay,Computer Science.,Bachelor's Degree,111870.0
California State University-Long Beach,Computer Science.,Bachelor's Degree,93142.0
California State University-Long Beach,Computer Engineering.,Bachelor's Degree,108748.0
California State University-Long Beach,Management Information Systems and Services.,Bachelor's Degree,82271.0
