school,major,degree,post_grad_earnings
Bowie State University,"Computer and Information Sciences and Support Services, Other.",Bachelor's Degree,92492.0
College of Southern Maryland,"Computer and Information Sciences, General.",Associate's Degree,84769.0
North American Trade Schools,Electrical/Electronics Maintenance and Repair Technology.,Undergraduate Certificate or Diploma,35936.0
North American Trade Schools,"Heating, Air Conditioning, Ventilation and Refrigeration Maintenance Technology/Technician (HAC, HACR, HVAC, HVACR).",Undergraduate Certificate or Diploma,36671.0
Hood College,Computer Science.,Bachelor's Degree,83323.0
Johns Hopkins University,"Computer and Information Sciences, General.",Bachelor's Degree,183104.0
Johns Hopkins University,"Computer and Information Sciences, General.",Master's Degree,169587.0
Johns Hopkins University,Information Science/Studies.,Master's Degree,139712.0
Johns Hopkins University,Biotechnology.,Master's Degree,116723.0
University of Maryland Global Campus,"Computer and Information Sciences, General.",Bachelor's Degree,103940.0
University of Maryland Global Campus,Information Science/Studies.,Undergraduate Certificate or Diploma,90630.0
University of Maryland Global Campus,Information Science/Studies.,Bachelor's Degree,98155.0
University of Maryland Global Campus,Information Science/Studies.,Master's Degree,126179.0
University of Maryland Global Campus,Information Science/Studies.,Graduate/Professional Certificate,125598.0
University of Maryland Global Campus,Computer/Information Technology Administration and Management.,Bachelor's Degree,102809.0
University of Maryland Global Campus,Computer/Information Technology Administration and Management.,Master's Degree,129716.0
University of Maryland Global Campus,Computer/Information Technology Administration and Management.,Graduate/Professional Certificate,117273.0
University of Maryland Global Campus,Biotechnology.,Master's Degree,107212.0
University of Maryland Global Campus,Security Science and Technology.,Bachelor's Degree,74828.0
University of Maryland Global Campus,Security Science and Technology.,Master's Degree,111361.0
University of Maryland Global Campus,Management Information Systems and Services.,Master's Degree,114526.0
University of Maryland-Baltimore County,Information Science/Studies.,Undergraduate Certificate or Diploma,101507.0
University of Maryland-Baltimore County,Information Science/Studies.,Bachelor's Degree,99498.0
University of Maryland-Baltimore County,Information Science/Studies.,Master's Degree,131013.0
University of Maryland-Baltimore County,Computer Science.,Bachelor's Degree,109160.0
University of Maryland-Baltimore County,Computer/Information Technology Administration and Management.,Bachelor's Degree,74894.0
University of Maryland-Baltimore County,Computer Engineering.,Bachelor's Degree,111632.0
University of Maryland-College Park,Food Science and Technology.,Bachelor's Degree,69427.0
University of Maryland-College Park,"Computer and Information Sciences, General.",Bachelor's Degree,144240.0
University of Maryland-College Park,Information Science/Studies.,Bachelor's Degree,113785.0
University of Maryland Eastern Shore,"Computer and Information Sciences, General.",Bachelor's Degree,85489.0
Fortis Institute-Towson,Electrical/Electronics Maintenance and Repair Technology.,Undergraduate Certificate or Diploma,26059.0
Fortis Institute-Towson,"Heating, Air Conditioning, Ventilation and Refrigeration Maintenance Technology/Technician (HAC, HACR, HVAC, HVACR).",Undergraduate Certificate or Diploma,43961.0
Montgomery College,"Computer and Information Sciences, General.",Associate's Degree,86658.0
Morgan State University,"Computer and Information Sciences, General.",Bachelor's Degree,80694.0
Salisbury University,"Computer and Information Sciences, General.",Bachelor's Degree,113833.0
Salisbury University,Information Science/Studies.,Bachelor's Degree,85326.0
St. Mary's College of Maryland,"Computer and Information Sciences, General.",Bachelor's Degree,95869.0
Towson University,"Computer and Information Sciences, General.",Bachelor's Degree,92993.0
Towson University,"Computer and Information Sciences, General.",Master's Degree,122926.0
Towson University,Information Science/Studies.,Bachelor's Degree,86490.0
Towson University,Information Science/Studies.,Master's Degree,109618.0
Towson University,Computer Science.,Bachelor's Degree,110595.0
Towson University,Computer/Information Technology Administration and Management.,Graduate/Professional Certificate,112379.0
Towson University,Security Science and Technology.,Bachelor's Degree,53322.0
Towson University,Security Science and Technology.,Master's Degree,79468.0
Stevenson University,Information Science/Studies.,Master's Degree,107771.0
Stevenson University,Computer Systems Networking and Telecommunications.,Bachelor's Degree,78310.0
Stevenson University,Security Science and Technology.,Master's Degree,75432.0
Amherst College,Computer Science.,Bachelor's Degree,194751.0
Bay Path University,Security Science and Technology.,Bachelor's Degree,50357.0
Bentley University,"Computer and Information Sciences, General.",Bachelor's Degree,116980.0
Bentley University,Human Computer Interaction.,Master's Degree,180058.0
Boston College,Information Science/Studies.,Bachelor's Degree,132170.0
Boston College,Computer Science.,Bachelor's Degree,155305.0
Boston University,Information Science/Studies.,Master's Degree,137506.0
Boston University,Computer Science.,Bachelor's Degree,137182.0
Boston University,Computer Science.,Master's Degree,177092.0
Boston University,Computer Engineering.,Bachelor's Degree,138076.0
Boston University,Computer Engineering.,Master's Degree,182771.0
Boston University,"Biomathematics, Bioinformatics, and Computational Biology.",Master's Degree,128790.0
Boston University,Security Science and Technology.,Master's Degree,62236.0
Brandeis University,Computer Science.,Bachelor's Degree,132874.0
Bridgewater State University,Computer Science.,Bachelor's Degree,86608.0
Bristol Community College,"Computer and Information Sciences, General.",Associate's Degree,52200.0
Endicott College,Biotechnology.,Bachelor's Degree,89874.0
Benjamin Franklin Cummings Institute of Technology,Computer Engineering Technologies/Technicians.,Associate's Degree,33139.0
Benjamin Franklin Cummings Institute of Technology,"Heating, Air Conditioning, Ventilation and Refrigeration Maintenance Technology/Technician (HAC, HACR, HVAC, HVACR).",Undergraduate Certificate or Diploma,35548.0
Harvard University,Computer Science.,Bachelor's Degree,219550.0
Holyoke Community College,Computer Programming.,Associate's Degree,43661.0
University of Massachusetts-Lowell,Information Science/Studies.,Bachelor's Degree,85758.0
University of Massachusetts-Lowell,Computer Science.,Bachelor's Degree,127238.0
University of Massachusetts-Amherst,Food Science and Technology.,Bachelor's Degree,74581.0
University of Massachusetts-Amherst,"Computer and Information Sciences, General.",Bachelor's Degree,100600.0
University of Massachusetts-Amherst,Computer Science.,Bachelor's Degree,132046.0
University of Massachusetts-Amherst,Computer Engineering.,Bachelor's Degree,123984.0
University of Massachusetts-Boston,"Computer and Information Sciences, General.",Bachelor's Degree,85753.0
Massachusetts Institute of Technology,Computer Science.,Bachelor's Degree,220064.0
Middlesex Community College,Biology Technician/Biotechnology Laboratory Technician.,Associate's Degree,77823.0
Mount Wachusett Community College,"Computer and Information Sciences, General.",Undergraduate Certificate or Diploma,43339.0
Massachusetts College of Liberal Arts,"Computer and Information Sciences, General.",Bachelor's Degree,91080.0
Northeastern University,"Computer and Information Sciences, General.",Bachelor's Degree,149127.0
Northeastern University,Information Science/Studies.,Master's Degree,139677.0
Northeastern University,Computer Engineering.,Bachelor's Degree,143143.0
Northeastern University,Biotechnology.,Master's Degree,156570.0
Northeastern University,Medical Illustration and Informatics.,Master's Degree,112151.0
Northern Essex Community College,"Computer and Information Sciences, General.",Associate's Degree,56958.0
Quinsigamond Community College,Computer Software and Media Applications.,Associate's Degree,36412.0
Springfield Technical Community College,Computer/Information Technology Administration and Management.,Associate's Degree,49788.0
University of Massachusetts-Dartmouth,"Computer and Information Sciences, General.",Bachelor's Degree,97833.0
Suffolk University,Information Science/Studies.,Bachelor's Degree,86177.0
Tufts University,Computer Science.,Bachelor's Degree,168606.0
Tufts University,Human Computer Interaction.,Bachelor's Degree,125189.0
Wentworth Institute of Technology,Computer Science.,Bachelor's Degree,111629.0
Wentworth Institute of Technology,Computer Systems Networking and Telecommunications.,Bachelor's Degree,97831.0
Wentworth Institute of Technology,Computer Engineering Technologies/Technicians.,Bachelor's Degree,97605.0
Westfield State University,Information Science/Studies.,Bachelor's Degree,61295.0
Williams College,Computer Science.,Bachelor's Degree,163743.0
Worcester Polytechnic Institute,Computer Science.,Bachelor's Degree,148489.0
Worcester State University,"Computer and Information Sciences, General.",Bachelor's Degree,79279.0
Worcester State University,Biotechnology.,Bachelor's Degree,87125.0
Baker College,Computer Programming.,Associate's Degree,56031.0
Baker College,Computer Programming.,Bachelor's Degree,95210.0
Baker College,Data Processing.,Associate's Degree,51902.0
Baker College,Computer Science.,Bachelor's Degree,75262.0
Baker College,Computer Software and Media Applications.,Bachelor's Degree,86042.0
Baker College,Computer Systems Networking and Telecommunications.,Associate's Degree,51726.0
Baker College,Computer/Information Technology Administration and Management.,Associate's Degree,52699.0
Baker College,Computer/Information Technology Administration and Management.,Bachelor's Degree,66120.0
Baker College,Management Information Systems and Services.,Master's Degree,84636.0
Calvin University,Computer Science.,Bachelor's Degree,91999.0
Central Michigan University,"Computer and Information Sciences, General.",Bachelor's Degree,93614.0
Central Michigan University,Computer Science.,Bachelor's Degree,102767.0
Central Michigan University,Management Information Systems and Services.,Bachelor's Degree,93984.0
Central Michigan University,Management Information Systems and Services.,Master's Degree,107405.0
Mott Community College,Computer Systems Networking and Telecommunications.,Associate's Degree,52595.0
Concordia University Ann Arbor,Computer Science.,Bachelor's Degree,69530.0
Davenport University,Computer Programming.,Bachelor's Degree,81984.0
Davenport University,Computer Science.,Associate's Degree,68837.0
Davenport University,Computer Software and Media Applications.,Bachelor's Degree,54370.0
Davenport University,Computer Systems Networking and Telecommunications.,Associate's Degree,55182.0
Davenport University,Computer Systems Networking and Telecommunications.,Bachelor's Degree,74388.0
Davenport University,Computer/Information Technology Administration and Management.,Bachelor's Degree,79018.0
Davenport University,Computer/Information Technology Administration and Management.,Master's Degree,90932.0
MIAT College of Technology,"Heating, Air Conditioning, Ventilation and Refrigeration Maintenance Technology/Technician (HAC, HACR, HVAC, HVACR).",Undergraduate Certificate or Diploma,47395.0
Dorsey College,Electrical/Electronics Maintenance and Repair Technology.,Undergraduate Certificate or Diploma,40230.0
Dorsey College,"Heating, Air Conditioning, Ventilation and Refrigeration Maintenance Technology/Technician (HAC, HACR, HVAC, HVACR).",Undergraduate Certificate or Diploma,42330.0
Eastern Michigan University,"Computer and Information Sciences, General.",Bachelor's Degree,101172.0
Eastern Michigan University,"Science, Technology and Society.",Bachelor's Degree,81207.0
Eastern Michigan University,Management Information Systems and Services.,Bachelor's Degree,88084.0
Ferris State University,"Computer and Information Sciences, General.",Bachelor's Degree,76029.0
Ferris State University,Computer/Information Technology Administration and Management.,Bachelor's Degree,80089.0
Kettering University,Computer Science.,Bachelor's Degree,95355.0
Grand Rapids Community College,Computer Systems Networking and Telecommunications.,Associate's Degree,54214.0
Grand Rapids Community College,Computer/Information Technology Administration and Management.,Undergraduate Certificate or Diploma,43026.0
Grand Valley State University,"Computer and Information Sciences, General.",Bachelor's Degree,95198.0
Grand Valley State University,Information Science/Studies.,Bachelor's Degree,94036.0
Grand Valley State University,"Biomathematics, Bioinformatics, and Computational Biology.",Master's Degree,85684.0
Henry Ford College,Computer Programming.,Associate's Degree,52664.0
Henry Ford College,Computer Systems Networking and Telecommunications.,Undergraduate Certificate or Diploma,66473.0
Henry Ford College,Computer Systems Networking and Telecommunications.,Associate's Degree,73005.0
Hope College,"Computer and Information Sciences, General.",Bachelor's Degree,90232.0
Kalamazoo Valley Community College,"Engineering Technology, General.",Associate's Degree,37870.0
Lansing Community College,Computer Programming.,Associate's Degree,64888.0
Lansing Community College,Computer Systems Networking and Telecommunications.,Associate's Degree,64439.0
Lawrence Technological University,Computer Science.,Bachelor's Degree,94043.0
University of Michigan-Ann Arbor,"Computer and Information Sciences, General.",Bachelor's Degree,153297.0
University of Michigan-Ann Arbor,Information Science/Studies.,Bachelor's Degree,125257.0
University of Michigan-Ann Arbor,Information Science/Studies.,Master's Degree,86385.0
University of Michigan-Ann Arbor,Computer Engineering.,Bachelor's Degree,123120.0
University of Michigan-Ann Arbor,Computer Engineering.,Master's Degree,172782.0
University of Michigan-Ann Arbor,"Biomathematics, Bioinformatics, and Computational Biology.",Master's Degree,93335.0
Michigan State University,Food Science and Technology.,Bachelor's Degree,70225.0
Michigan State University,Food Science and Technology.,Master's Degree,107428.0
Michigan State University,"Computer and Information Sciences, General.",Bachelor's Degree,105539.0
Michigan State University,Computer Engineering.,Bachelor's Degree,101837.0
Michigan Technological University,Computer Science.,Bachelor's Degree,106432.0
Michigan Technological University,Computer/Information Technology Administration and Management.,Bachelor's Degree,91410.0
Michigan Technological University,Computer Engineering.,Bachelor's Degree,105712.0
University of Michigan-Dearborn,"Computer and Information Sciences, General.",Bachelor's Degree,99124.0
University of Michigan-Dearborn,Computer Programming.,Bachelor's Degree,117020.0
University of Michigan-Dearborn,Computer Engineering.,Bachelor's Degree,99036.0
University of Michigan-Dearborn,Management Information Systems and Services.,Bachelor's Degree,91680.0
University of Michigan-Flint,Computer Science.,Bachelor's Degree,90852.0
Northern Michigan University,"Computer and Information Sciences, General.",Bachelor's Degree,83894.0
Northwood University,"Computer and Information Sciences, General.",Bachelor's Degree,80446.0
Oakland University,"Computer and Information Sciences, General.",Bachelor's Degree,95581.0
Oakland University,Computer Engineering.,Bachelor's Degree,99893.0
Oakland University,Management Information Systems and Services.,Bachelor's Degree,85514.0
Saginaw Valley State University,"Computer and Information Sciences, General.",Bachelor's Degree,83464.0
Saginaw Valley State University,Computer Systems Analysis.,Bachelor's Degree,85259.0
Schoolcraft Community College District,Computer Software and Media Applications.,Associate's Degree,32178.0
Walsh College,"Computer and Information Sciences, General.",Bachelor's Degree,95156.0
Walsh College,"Computer and Information Sciences, General.",Master's Degree,113098.0
Wayne State University,"Computer and Information Sciences, General.",Bachelor's Degree,102611.0
Wayne State University,Management Information Systems and Services.,Bachelor's Degree,86777.0
Western Michigan University,"Computer and Information Sciences, General.",Bachelor's Degree,73822.0
Western Michigan University,Computer Science.,Bachelor's Degree,93924.0
Western Michigan University,Medical Illustration and Informatics.,Bachelor's Degree,69645.0
Alexandria Technical & Community College,Computer Systems Networking and Telecommunications.,Associate's Degree,49292.0
American Indian OIC Inc,Computer/Information Technology Administration and Management.,Undergraduate Certificate or Diploma,30413.0
Anoka Technical College,Computer Engineering Technologies/Technicians.,Associate's Degree,62182.0
Anoka-Ramsey Community College,Computer Systems Networking and Telecommunications.,Associate's Degree,56558.0
Bemidji State University,Computer Science.,Bachelor's Degree,88278.0
Bemidji State University,"Engineering Technology, General.",Bachelor's Degree,80665.0
Carleton College,Computer Science.,Bachelor's Degree,121569.0
Dakota County Technical College,Computer/Information Technology Administration and Management.,Associate's Degree,66194.0
Minnesota State Community and Technical College,"Heating, Air Conditioning, Ventilation and Refrigeration Maintenance Technology/Technician (HAC, HACR, HVAC, HVACR).",Undergraduate Certificate or Diploma,62937.0
Gustavus Adolphus College,Computer Science.,Bachelor's Degree,110108.0
Hennepin Technical College,Computer/Information Technology Administration and Management.,Associate's Degree,66823.0
Hennepin Technical College,"Heating, Air Conditioning, Ventilation and Refrigeration Maintenance Technology/Technician (HAC, HACR, HVAC, HVACR).",Undergraduate Certificate or Diploma,65406.0
Hennepin Technical College,"Heating, Air Conditioning, Ventilation and Refrigeration Maintenance Technology/Technician (HAC, HACR, HVAC, HVACR).",Associate's Degree,78403.0
Minnesota North College,"Heating, Air Conditioning, Ventilation and Refrigeration Maintenance Technology/Technician (HAC, HACR, HVAC, HVACR).",Undergraduate Certificate or Diploma,39493.0
Macalester College,"Computer and Information Sciences, General.",Bachelor's Degree,122063.0
South Central College,Computer Systems Networking and Telecommunications.,Associate's Degree,65753.0
South Central College,"Heating, Air Conditioning, Ventilation and Refrigeration Maintenance Technology/Technician (HAC, HACR, HVAC, HVACR).",Undergraduate Certificate or Diploma,62793.0
South Central College,"Heating, Air Conditioning, Ventilation and Refrigeration Maintenance Technology/Technician (HAC, HACR, HVAC, HVACR).",Associate's Degree,76675.0
Minnesota State University-Mankato,"Computer and Information Sciences, General.",Bachelor's Degree,94873.0
Metropolitan State University,Information Science/Studies.,Bachelor's Degree,82008.0
Metropolitan State University,Computer Science.,Bachelor's Degree,99864.0
Metropolitan State University,Computer/Information Technology Administration and Management.,Bachelor's Degree,81130.0
Metropolitan State University,Management Information Systems and Services.,Bachelor's Degree,93586.0
University of Minnesota-Twin Cities,Food Science and Technology.,Bachelor's Degree,70228.0
University of Minnesota-Twin Cities,Computer Systems Analysis.,Bachelor's Degree,110382.0
University of Minnesota-Twin Cities,Computer Science.,Bachelor's Degree,111199.0
University of Minnesota-Twin Cities,Computer Systems Networking and Telecommunications.,Bachelor's Degree,103056.0
University of Minnesota-Twin Cities,Computer Engineering.,Bachelor's Degree,101456.0
Minneapolis Community and Technical College,Computer Programming.,Associate's Degree,81914.0
Minneapolis Community and Technical College,Computer Software and Media Applications.,Associate's Degree,48789.0
Minneapolis Community and Technical College,Computer/Information Technology Administration and Management.,Associate's Degree,61141.0
Minneapolis Community and Technical College,"Heating, Air Conditioning, Ventilation and Refrigeration Maintenance Technology/Technician (HAC, HACR, HVAC, HVACR).",Associate's Degree,74261.0
Herzing University-Minneapolis,Computer Programming.,Bachelor's Degree,82894.0
Herzing University-Minneapolis,Computer Systems Networking and Telecommunications.,Associate's Degree,50860.0
University of Minnesota-Duluth,Computer Science.,Bachelor's Degree,94445.0
University of Minnesota-Duluth,Computer Systems Networking and Telecommunications.,Bachelor's Degree,81784.0
University of Minnesota-Morris,Computer Science.,Bachelor's Degree,87775.0
North Hennepin Community College,Computer Science.,Associate's Degree,69928.0
North Hennepin Community College,Management Information Systems and Services.,Associate's Degree,59096.0
Normandale Community College,Computer Science.,Associate's Degree,87668.0
Northland Community and Technical College,"Intelligence, Command Control and Information Operations.",Associate's Degree,55979.0
Northland Community and Technical College,"Heating, Air Conditioning, Ventilation and Refrigeration Maintenance Technology/Technician (HAC, HACR, HVAC, HVACR).",Undergraduate Certificate or Diploma,49868.0
St Cloud Technical and Community College,Computer Programming.,Associate's Degree,67638.0
St Cloud Technical and Community College,Computer/Information Technology Administration and Management.,Associate's Degree,55822.0
St Cloud Technical and Community College,"Heating, Air Conditioning, Ventilation and Refrigeration Maintenance Technology/Technician (HAC, HACR, HVAC, HVACR).",Undergraduate Certificate or Diploma,63498.0
Saint Cloud State University,Computer Science.,Bachelor's Degree,106149.0
Saint Cloud State University,Computer/Information Technology Administration and Management.,Bachelor's Degree,71369.0
Saint Cloud State University,Management Information Systems and Services.,Bachelor's Degree,84522.0
Saint Johns University,Computer Science.,Bachelor's Degree,95885.0
St Olaf College,Computer Science.,Bachelor's Degree,105613.0
The College of Saint Scholastica,"Computer and Information Sciences, General.",Bachelor's Degree,81225.0
University of St Thomas,"Computer and Information Sciences, General.",Master's Degree,123642.0
University of St Thomas,Computer Science.,Bachelor's Degree,100656.0
Rasmussen University-Minnesota,Computer Systems Analysis.,Bachelor's Degree,86346.0
Rasmussen University-Minnesota,Computer Science.,Bachelor's Degree,72149.0
Rasmussen University-Minnesota,Computer Software and Media Applications.,Associate's Degree,35895.0
Rasmussen University-Minnesota,Computer/Information Technology Administration and Management.,Bachelor's Degree,76447.0
Rasmussen University-Minnesota,Computer Engineering.,Associate's Degree,72251.0
Rasmussen University-Minnesota,Management Information Systems and Services.,Associate's Degree,53071.0
Saint Paul College,Computer Systems Networking and Telecommunications.,Associate's Degree,56268.0
Dunwoody College of Technology,Architectural Sciences and Technology.,Associate's Degree,64185.0
Dunwoody College of Technology,Computer Software and Media Applications.,Associate's Degree,70990.0
Dunwoody College of Technology,Computer Systems Networking and Telecommunications.,Associate's Degree,66283.0
Dunwoody College of Technology,"Heating, Air Conditioning, Ventilation and Refrigeration Maintenance Technology/Technician (HAC, HACR, HVAC, HVACR).",Associate's Degree,75444.0
Winona State University,Computer Science.,Bachelor's Degree,90428.0
Century College,Computer Systems Networking and Telecommunications.,Associate's Degree,67215.0
Century College,Computer Engineering Technologies/Technicians.,Associate's Degree,63627.0
Century College,"Heating, Air Conditioning, Ventilation and Refrigeration Maintenance Technology/Technician (HAC, HACR, HVAC, HVACR).",Associate's Degree,75499.0
East Mississippi Community College,Computer Systems Networking and Telecommunications.,Associate's Degree,54700.0
Hinds Community College,Computer Systems Networking and Telecommunications.,Undergraduate Certificate or Diploma,42783.0
Hinds Community College,Computer Systems Networking and Telecommunications.,Associate's Degree,45406.0
Hinds Community College,Computer/Information Technology Administration and Management.,Undergraduate Certificate or Diploma,48856.0
Hinds Community College,Computer/Information Technology Administration and Management.,Associate's Degree,48076.0
Holmes Community College,Computer Systems Networking and Telecommunications.,Associate's Degree,52920.0
Holmes Community College,"Heating, Air Conditioning, Ventilation and Refrigeration Maintenance Technology/Technician (HAC, HACR, HVAC, HVACR).",Associate's Degree,37220.0
Itawamba Community College,Computer Programming.,Associate's Degree,43207.0
Itawamba Community College,Computer Systems Networking and Telecommunications.,Associate's Degree,43416.0
Jackson State University,Computer Science.,Bachelor's Degree,75274.0
Mississippi Delta Community College,"Heating, Air Conditioning, Ventilation and Refrigeration Maintenance Technology/Technician (HAC, HACR, HVAC, HVACR).",Undergraduate Certificate or Diploma,36729.0
University of Mississippi,Management Information Systems and Services.,Bachelor's Degree,62329.0
Mississippi Gulf Coast Community College,Computer Programming.,Associate's Degree,39971.0
Mississippi State University,Food Science and Technology.,Bachelor's Degree,46183.0
Mississippi State University,"Computer and Information Sciences, General.",Bachelor's Degree,83231.0
Mississippi State University,Management Information Systems and Services.,Bachelor's Degree,69612.0
University of Southern Mississippi,Security Science and Technology.,Bachelor's Degree,40317.0
University of Central Missouri,"Computer and Information Sciences, General.",Bachelor's Degree,78580.0
University of Central Missouri,Computer Science.,Bachelor's Degree,89688.0
University of Central Missouri,"Engineering Technology, General.",Undergraduate Certificate or Diploma,70247.0
University of Central Missouri,"Engineering Technology, General.",Bachelor's Degree,84560.0
Columbia College,"Computer and Information Sciences, General.",Bachelor's Degree,75640.0
Columbia College,Management Information Systems and Services.,Bachelor's Degree,70772.0
Pinnacle Career Institute,"Heating, Air Conditioning, Ventilation and Refrigeration Maintenance Technology/Technician (HAC, HACR, HVAC, HVACR).",Undergraduate Certificate or Diploma,49438.0
Ozarks Technical Community College,Communications Technology/Technician.,Undergraduate Certificate or Diploma,30529.0
Ozarks Technical Community College,Communications Technology/Technician.,Associate's Degree,27827.0
Ozarks Technical Community College,Computer Programming.,Undergraduate Certificate or Diploma,42537.0
Ozarks Technical Community College,Computer Programming.,Associate's Degree,43409.0
Ozarks Technical Community College,Computer Systems Networking and Telecommunications.,Undergraduate Certificate or Diploma,43368.0
Ozarks Technical Community College,Computer Systems Networking and Telecommunications.,Associate's Degree,46949.0
Ozarks Technical Community College,"Heating, Air Conditioning, Ventilation and Refrigeration Maintenance Technology/Technician (HAC, HACR, HVAC, HVACR).",Undergraduate Certificate or Diploma,42880.0
Ozarks Technical Community College,"Heating, Air Conditioning, Ventilation and Refrigeration Maintenance Technology/Technician (HAC, HACR, HVAC, HVACR).",Associate's Degree,41709.0
Lincoln University,Information Science/Studies.,Bachelor's Degree,50882.0
Lindenwood University,"Computer and Information Sciences, General.",Bachelor's Degree,91421.0
Lindenwood University,Computer Software and Media Applications.,Bachelor's Degree,50275.0
State Technical College of Missouri,Computer Systems Networking and Telecommunications.,Associate's Degree,51097.0
State Technical College of Missouri,"Heating, Air Conditioning, Ventilation and Refrigeration Maintenance Technology/Technician (HAC, HACR, HVAC, HVACR).",Associate's Degree,57261.0
State Technical College of Missouri,Management Information Systems and Services.,Associate's Degree,33985.0
Metropolitan Community College-Kansas City,"Computer and Information Sciences, General.",Associate's Degree,65527.0
Metropolitan Community College-Kansas City,Computer Programming.,Associate's Degree,73681.0
Metropolitan Community College-Kansas City,"Heating, Air Conditioning, Ventilation and Refrigeration Maintenance Technology/Technician (HAC, HACR, HVAC, HVACR).",Undergraduate Certificate or Diploma,60480.0
Missouri Southern State University,"Computer and Information Sciences, General.",Bachelor's Degree,64998.0
Missouri Southern State University,Computer Programming.,Associate's Degree,62755.0
Missouri Western State University,"Computer and Information Sciences, General.",Bachelor's Degree,65401.0
University of Missouri-Columbia,"Computer and Information Sciences, General.",Bachelor's Degree,93018.0
University of Missouri-Columbia,Computer Engineering.,Bachelor's Degree,96583.0
University of Missouri-Kansas City,Computer Science.,Bachelor's Degree,96673.0
Missouri University of Science and Technology,"Computer and Information Sciences, General.",Bachelor's Degree,101982.0
Missouri University of Science and Technology,Information Science/Studies.,Bachelor's Degree,83687.0
Missouri University of Science and Technology,Computer Engineering.,Bachelor's Degree,105434.0
University of Missouri-St Louis,Computer Science.,Bachelor's Degree,96734.0
University of Missouri-St Louis,Management Information Systems and Services.,Bachelor's Degree,90391.0
Truman State University,"Computer and Information Sciences, General.",Bachelor's Degree,101211.0
Northwest Missouri State University,"Computer and Information Sciences, General.",Bachelor's Degree,87195.0
Northwest Missouri State University,Computer Software and Media Applications.,Bachelor's Degree,76903.0
Park University,Computer Software and Media Applications.,Bachelor's Degree,91512.0
Park University,Computer Systems Networking and Telecommunications.,Bachelor's Degree,75326.0
Park University,Management Information Systems and Services.,Bachelor's Degree,88597.0
Ranken Technical College,Computer Programming.,Associate's Degree,58852.0
Ranken Technical College,Computer Engineering Technologies/Technicians.,Undergraduate Certificate or Diploma,50087.0
Ranken Technical College,Computer Engineering Technologies/Technicians.,Associate's Degree,58429.0
Ranken Technical College,Electrical/Electronics Maintenance and Repair Technology.,Undergraduate Certificate or Diploma,80236.0
Ranken Technical College,Electrical/Electronics Maintenance and Repair Technology.,Associate's Degree,59592.0
Saint Louis University,"Computer and Information Sciences, General.",Bachelor's Degree,95914.0
Saint Louis Community College,"Computer and Information Sciences, General.",Associate's Degree,58203.0
Southeast Missouri State University,"Computer and Information Sciences, General.",Bachelor's Degree,84685.0
Southeast Missouri State University,"Engineering Technology, General.",Bachelor's Degree,74358.0
Missouri State University-Springfield,Computer Science.,Bachelor's Degree,91878.0
Missouri State University-Springfield,Computer/Information Technology Administration and Management.,Bachelor's Degree,69321.0
Missouri State University-Springfield,Management Information Systems and Services.,Bachelor's Degree,80791.0
Webster University,Computer Science.,Bachelor's Degree,90966.0
Webster University,Management Information Systems and Services.,Master's Degree,102692.0
Highlands College of Montana Tech,Electrical/Electronics Maintenance and Repair Technology.,Undergraduate Certificate or Diploma,88641.0
Helena College University of Montana,Computer Programming.,Associate's Degree,59279.0
Montana Technological University,Electrical/Electronics Maintenance and Repair Technology.,Undergraduate Certificate or Diploma,88641.0
Montana Technological University,Management Information Systems and Services.,Bachelor's Degree,56418.0
Montana State University,Computer Science.,Bachelor's Degree,126082.0
The University of Montana,"Computer and Information Sciences, General.",Associate's Degree,58136.0
The University of Montana,Management Information Systems and Services.,Bachelor's Degree,103587.0
Bellevue University,"Computer and Information Sciences, General.",Bachelor's Degree,77200.0
Bellevue University,"Computer and Information Sciences, General.",Master's Degree,119776.0
Bellevue University,Computer Programming.,Bachelor's Degree,79386.0
Bellevue University,Computer/Information Technology Administration and Management.,Bachelor's Degree,76797.0
Bellevue University,Computer/Information Technology Administration and Management.,Master's Degree,117247.0
Bellevue University,Management Information Systems and Services.,Bachelor's Degree,103116.0
Bellevue University,Management Information Systems and Services.,Master's Degree,84539.0
Central Community College,"Computer and Information Sciences, General.",Associate's Degree,50423.0
Creighton University,"Computer and Information Sciences, General.",Bachelor's Degree,96486.0
Metropolitan Community College Area,"Computer and Information Sciences, General.",Associate's Degree,74461.0
University of Nebraska at Omaha,"Computer and Information Sciences, General.",Undergraduate Certificate or Diploma,77445.0
University of Nebraska at Omaha,Information Science/Studies.,Bachelor's Degree,76845.0
University of Nebraska at Omaha,Information Science/Studies.,Master's Degree,124484.0
University of Nebraska at Omaha,Computer Science.,Bachelor's Degree,102725.0
University of Nebraska at Omaha,Computer Engineering.,Bachelor's Degree,105102.0
University of Nebraska at Omaha,Biotechnology.,Bachelor's Degree,61194.0
University of Nebraska-Lincoln,Food Science and Technology.,Bachelor's Degree,60931.0
University of Nebraska-Lincoln,"Computer and Information Sciences, General.",Bachelor's Degree,104063.0
University of Nebraska-Lincoln,Computer Engineering.,Bachelor's Degree,105749.0
University of Nebraska-Lincoln,Security Science and Technology.,Bachelor's Degree,58664.0
Southeast Community College Area,"Computer and Information Sciences, General.",Associate's Degree,66541.0
Southeast Community College Area,"Heating, Air Conditioning, Ventilation and Refrigeration Maintenance Technology/Technician (HAC, HACR, HVAC, HVACR).",Associate's Degree,60687.0
